year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1,279.4,160.5,18.4,0.0,4,106,5940,1160,0.0,0.0,0.0,4,1.16
2,279.4,161.1,18.2,0.0,4,106,5950,1190,0.0,0.0,0.0,5,1.18
3,279.4,170.7,18.5,0.0,4,110,5950,1190,7.6,0.0,0.0,7,1.183
4,279.4,223.9,18.9,0.0,3,110,6260,1250,14.3,0.0,0.0,7,1.184
5,279.4,228.2,18.4,0.1,2,113,6680,1500,22.4,0.0,0.0,8,1.186
6,279.4,225.0,17.2,0.0,4,114,6950,1750,25.3,0.0,0.0,8,1.218
7,279.4,130.0,18.4,0.0,3,103,7635,1950,27.4,0.0,115.0,9,1.258
8,279.4,100.6,19.0,0.0,2,114,8540,2180,59.6,23.5,121.0,10,1.269
9,279.4,176.5,19.0,0.0,3,108,9120,2300,69.7,30.6,231.0,11,1.292
10,279.4,53.6,19.0,0.0,2,105,9870,2450,74.5,58.2,266.4,14,1.332
1,271.8,354.5,17.0,0.0,3,117,2600,400,0.0,0.0,0.0,6,0.912
2,271.8,161.1,18.2,0.0,4,106,5950,1190,0.0,0.0,0.0,6,1.012
3,271.8,170.7,18.5,0.0,4,110,5950,1190,0.0,18.3,0.0,6,1.026
4,271.8,223.9,18.9,0.0,3,113,6260,1250,180.4,25.3,0.0,7,1.0678
5,271.8,228.2,18.4,0.1,2,114,6680,1500,184.3,37.2,0.0,7,1.086
6,271.8,225.0,17.2,0.0,4,103,6900,1630,209.3,61.0,1.0,8,1.346
7,271.8,130.0,18.4,0.0,3,114,7460,1850,335.7,130.3,1.0,8,1.403
8,271.8,100.6,19.0,0.0,2,108,8540,2180,338.4,260.4,1.0,8,1.475
9,271.8,176.5,19.0,0.0,3,105,7200,2300,341.2,300.6,105.0,8,1.552
10,271.8,53.6,19.0,0.0,2,110,4080,940,345.1,316.6,184.0,8,1.609
1,548.6,236.7,22.2,0.0,3,103,7200,2260,0.0,0.0,0.0,0,0.812
2,548.6,240.2,22.1,0.0,3,104,7050,2470,0.0,0.0,0.0,0,0.823
3,548.6,155.3,22.4,0.0,3,104,7300,2850,0.0,0.0,0.0,3,0.8324
4,548.6,77.0,23.0,0.0,2,105,9000,3500,0.0,0.0,0.0,3,0.845
5,548.6,146.3,22.5,0.0,2,108,10500,5430,0.0,0.0,0.0,4,0.867
6,548.6,216.3,21.2,0.0,4,111,12500,6870,0.0,0.0,0.0,4,0.869
7,548.6,77.1,22.4,0.0,4,106,18000,7500,1.5,9.1,0.0,4,0.893
8,548.6,90.3,22.8,0.0,2,105,21500,8240,6.7,38.5,0.0,5,0.927
9,548.6,238.5,22.8,0.0,2,103,26640,9353,8.4,76.8,1.0,5,1.043
10,548.6,62.0,22.7,0.0,2,102,30535,10234,76.9,97.5,13.0,5,1.05
1,563.9,336.6,21.3,0.0,4,106,6800,1600,0.0,0.0,0.0,0,
2,563.9,240.2,22.1,0.0,3,104,7050,2470,0.0,0.0,0.0,0,0.881
3,563.9,155.3,22.4,0.0,3,104,7300,2800,0.0,0.0,0.0,0,0.892
4,563.9,77.0,23.0,0.0,2,105,7850,3500,0.0,0.0,0.0,6,0.912
5,563.9,146.3,22.5,0.0,2,108,10500,5430,0.0,0.0,0.0,6,0.923
6,563.9,216.3,21.2,0.0,4,111,12500,6870,0.0,0.0,0.0,6,0.939
7,563.9,77.1,22.4,0.0,4,106,18000,7600,0.0,0.0,0.0,7,0.954
8,563.9,90.3,22.8,0.0,2,105,21500,8240,0.0,0.0,0.0,7,0.96
9,563.9,238.5,22.8,0.0,2,103,26640,9353,0.0,72.6,0.0,8,0.986
10,563.9,62.0,22.7,0.0,2,102,30535,10234,42.5,107.6,0.0,8,0.998
1,543.6,272.7,19.0,0.0,4,103,4400,440,0.0,0.0,0.0,1,0.0
2,543.6,155.0,19.8,0.0,3,109,4400,440,0.0,0.0,1.0,4,0.921
3,543.6,380.7,18.5,1.0,3,111,4500,455,0.0,0.0,1.0,4,0.954
4,543.6,349.8,18.4,0.0,3,115,3900,475,0.0,21.5,3.0,5,0.989
5,543.6,441.3,18.6,0.0,4,115,4100,500,0.0,27.6,4.0,5,1.059
6,543.6,288.6,18.7,0.0,3,110,4300,300,0.0,55.3,4.0,5,1.062
7,543.6,413.4,19.2,0.0,3,113,4720,240,0.0,56.7,4.0,6,1.07
8,543.6,272.5,19.4,0.0,3,108,5440,330,0.0,64.8,5.0,7,1.079
9,543.6,141.2,19.9,0.0,2,105,5600,300,0.0,73.9,5.0,7,1.083
10,543.6,198.7,19.4,0.0,2,106,5800,450,0.0,83.5,6.0,7,1.088
1,475.0,380.7,18.5,1.0,3,111,3780,467,7.5,82.1,2.0,18,0.994
2,475.0,349.8,18.4,0.0,3,115,3900,475,17.2,104.0,6.0,18,1.051
3,475.0,441.3,18.6,0.0,4,115,4100,500,19.3,111.6,24.0,19,1.091
4,475.0,288.6,18.7,0.0,3,110,4600,300,20.3,140.6,36.0,19,1.099
5,475.0,413.4,19.2,0.0,3,113,4720,240,211.6,180.5,43.0,19,1.11
6,475.0,272.5,19.4,0.0,3,108,5440,330,258.8,191.3,45.0,20,1.12
7,475.0,141.2,19.9,0.0,2,105,5600,300,271.8,195.5,51.0,20,1.15
8,475.0,198.7,19.4,0.0,2,106,6500,460,298.5,221.4,54.0,21,1.17
9,475.0,282.8,18.2,0.0,4,114,7000,500,318.5,240.4,55.0,21,1.19
10,475.0,101.6,19.6,0.0,2,101,4927,774,340.5,262.3,62.0,21,1.22
1,508.0,272.7,19.0,0.0,4,103,4400,440,0.0,0.0,0.0,0,1.114
2,508.0,155.0,19.8,0.0,3,109,4400,440,0.0,0.0,1.0,6,1.179
3,508.0,380.7,18.5,1.0,3,111,4250,450,0.0,0.0,1.0,9,1.961
4,508.0,349.8,18.4,0.0,3,115,3900,475,0.0,0.0,1.0,19,2.336
5,508.0,441.3,18.6,0.0,4,115,4100,500,0.0,0.0,4.0,24,2.421
6,508.0,288.6,18.7,0.0,3,110,4500,450,0.0,0.0,4.0,27,2.678
7,508.0,413.4,19.2,0.0,3,113,4720,240,0.0,0.0,5.0,29,2.917
8,508.0,272.5,19.4,0.0,3,108,5440,330,0.0,0.0,5.0,36,3.12
9,508.0,141.2,19.9,0.0,2,105,5600,300,0.0,0.0,5.0,39,3.45
10,508.0,198.7,19.4,0.0,2,106,5850,350,0.1,0.0,7.0,42,3.54
1,477.5,396.7,17.8,0.0,5,115,3720,297,0.0,0.0,0.0,0,0.725
